期数,星期,红球,篮球,和值,AC,分列差,并列差,公式差,取模直,非AC尾,012路
2025069,4,"[2, 4, 19, 23, 27, 30]",5,105,9,"[8, 3, 4]","[2, 4, 3]","[1, 5, 4, 3, 2, 2]","[3, 0, 1]","[0, 1, 2, 3, 4, 5, 8]","[2, 1, 1, 2, 0, 0]"
2025070,7,"[2, 3, 15, 21, 22, 33]",6,96,6,"[1, 9, 6]","[1, 6, 1]","[7, 1, 5, 3, 3, 1]","[0, 1, 0]","[0, 1, 3, 5, 6, 7, 9]","[2, 0, 0, 0, 1, 0]"
2025071,2,"[1, 12, 18, 23, 25, 28]",7,107,8,"[7, 3, 5]","[1, 5, 3]","[6, 7, 4, 3, 3, 2]","[5, 2, 3]","[1, 2, 3, 4, 5, 6, 7]","[1, 0, 0, 2, 1, 1]"
2025072,4,"[2, 14, 17, 25, 27, 29]",5,114,7,"[7, 3, 8]","[2, 8, 2]","[6, 7, 5, 3, 3, 2]","[0, 4, 2]","[0, 2, 3, 4, 5, 6, 7, 8]","[2, 2, 2, 1, 0, 2]"
2025073,7,"[2, 7, 10, 27, 30, 33]",11,109,6,"[1, 3, 7]","[5, 7, 3]","[3, 4, 9, 3, 2, 2]","[1, 4, 1]","[1, 2, 3, 4, 5, 7, 9]","[2, 1, 1, 0, 0, 0]"
2025074,2,"[3, 4, 12, 20, 32, 33]",13,104,7,"[0, 8, 8]","[1, 8, 1]","[3, 5, 7, 4, 2, 2]","[2, 4, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","[0, 1, 0, 2, 2, 0]"
2025075,4,"[10, 12, 14, 19, 20, 21]",15,96,5,"[1, 8, 5]","[2, 5, 1]","[8, 7, 5, 4, 3, 3]","[0, 1, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","[1, 0, 2, 1, 2, 0]"
2025076,7,"[2, 6, 9, 12, 14, 30]",8,73,9,"[8, 8, 3]","[4, 3, 6]","[5, 1, 7, 5, 4, 1]","[1, 3, 1]","[1, 3, 4, 5, 6, 7, 8]","[2, 0, 0, 0, 2, 0]"
2025077,2,"[4, 7, 8, 15, 20, 21]",15,75,8,"[7, 3, 7]","[3, 7, 1]","[7, 9, 8, 4, 2, 2]","[3, 0, 3]","[0, 1, 2, 3, 4, 7, 8, 9]","[1, 1, 2, 0, 2, 0]"
2025078,4,"[6, 15, 17, 30, 32, 33]",14,133,8,"[7, 7, 3]","[9, 3, 1]","[1, 7, 6, 3, 3, 3]","[1, 3, 1]","[1, 3, 6, 7, 9]","[0, 0, 2, 0, 2, 0]"
2025079,7,"[8, 11, 14, 15, 30, 32]",5,110,9,"[4, 9, 1]","[3, 1, 2]","[2, 9, 6, 6, 2, 2]","[2, 0, 2]","[0, 1, 2, 3, 4, 6, 9]","[2, 2, 2, 0, 0, 2]"
2025080,2,"[3, 7, 8, 10, 16, 19]",5,63,8,"[6, 9, 2]","[4, 2, 3]","[0, 8, 6, 5, 2, 2]","[3, 3, 3]","[0, 2, 3, 4, 5, 6, 8, 9]","[0, 1, 2, 1, 1, 1]"
2025081,4,"[3, 6, 18, 20, 23, 28]",5,98,7,"[5, 7, 2]","[3, 2, 5]","[1, 5, 4, 3, 3, 2]","[2, 3, 2]","[1, 2, 3, 4, 5, 7]","[0, 0, 0, 2, 2, 1]"
2025082,7,"[4, 6, 9, 14, 32, 33]",11,98,9,"[9, 6, 5]","[2, 5, 1]","[3, 5, 9, 6, 2, 1]","[2, 3, 2]","[1, 2, 3, 5, 6, 9]","[1, 0, 0, 2, 2, 0]"
2025083,2,"[10, 15, 16, 17, 27, 29]",12,114,7,"[9, 2, 1]","[5, 1, 2]","[0, 6, 6, 5, 3, 2]","[0, 4, 2]","[0, 1, 2, 3, 4, 5, 6, 9]","[1, 0, 1, 2, 0, 2]"
2025084,4,"[6, 8, 10, 14, 24, 33]",15,95,8,"[7, 6, 4]","[2, 4, 9]","[4, 0, 8, 5, 2, 1]","[5, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 1, 2, 0, 0]"
2025085,7,"[11, 14, 15, 18, 21, 24]",13,103,3,"[3, 7, 3]","[3, 3, 3]","[8, 6, 5, 4, 3, 3]","[1, 3, 3]","[1, 3, 4, 5, 6, 7, 8]","[2, 2, 0, 0, 0, 0]"
2025086,2,"[2, 6, 8, 10, 17, 24]",6,67,7,"[2, 1, 2]","[4, 2, 7]","[2, 0, 7, 5, 2, 1]","[1, 2, 3]","[0, 1, 2, 3, 4, 5, 7]","[2, 0, 2, 1, 2, 0]"
2025087,4,"[2, 6, 14, 15, 24, 26]",8,87,8,"[4, 8, 1]","[4, 1, 2]","[2, 3, 5, 4, 2, 2]","[3, 2, 3]","[1, 2, 3, 4, 5, 8]","[2, 0, 2, 0, 0, 2]"
2025088,7,"[1, 3, 13, 18, 21, 25]",6,81,9,"[4, 8, 5]","[2, 5, 4]","[0, 6, 5, 3, 2, 2]","[3, 1, 1]","[0, 1, 2, 3, 4, 5, 6, 8]","[1, 0, 1, 0, 0, 1]"
2025089,2,"[4, 6, 8, 18, 31, 33]",5,100,6,"[9, 5, 0]","[2, 0, 2]","[4, 5, 1, 4, 2, 2]","[4, 0, 0]","[0, 1, 2, 4, 5, 9]","[1, 0, 2, 0, 1, 0]"
2025090,4,"[6, 11, 12, 21, 27, 28]",15,105,6,"[2, 6, 9]","[5, 9, 1]","[6, 8, 7, 4, 2, 2]","[3, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 0, 0, 0, 1]"
2025091,7,"[3, 4, 17, 19, 25, 27]",14,95,8,"[4, 1, 2]","[1, 2, 2]","[0, 2, 4, 4, 2, 2]","[5, 0, 3]","[0, 1, 2, 3, 4, 5]","[0, 1, 2, 1, 1, 0]"
2025092,2,"[2, 11, 14, 17, 23, 24]",12,91,6,"[2, 2, 3]","[9, 3, 1]","[4, 7, 5, 4, 2, 2]","[1, 1, 3]","[1, 2, 3, 4, 5, 7, 9]","[2, 2, 2, 2, 2, 0]"
2025093,4,"[9, 11, 12, 24, 25, 26]",10,107,4,"[7, 4, 2]","[2, 2, 1]","[0, 8, 7, 3, 3, 3]","[5, 2, 3]","[0, 1, 2, 3, 4, 5, 7, 8]","[0, 2, 0, 0, 1, 2]"
2025094,7,"[11, 13, 17, 19, 23, 29]",16,112,3,"[8, 0, 2]","[2, 2, 6]","[9, 7, 5, 4, 3, 2]","[4, 2, 0]","[0, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 2, 1, 2, 2]"
2025095,2,"[15, 16, 22, 23, 26, 32]",4,134,6,"[7, 0, 1]","[1, 1, 6]","[7, 7, 5, 4, 4, 3]","[2, 4, 2]","[0, 1, 2, 3, 4, 5, 6, 7]","[0, 1, 1, 2, 2, 2]"
2025096,4,"[7, 9, 11, 12, 16, 29]",15,84,7,"[2, 7, 1]","[2, 1, 3]","[1, 8, 6, 6, 4, 1]","[0, 4, 0]","[0, 1, 2, 3, 4, 6, 7, 8]","[1, 0, 2, 0, 1, 2]"
2025097,7,"[3, 5, 16, 23, 26, 31]",14,104,10,"[8, 1, 7]","[2, 7, 5]","[3, 9, 5, 3, 3, 2]","[2, 4, 0]","[0, 1, 2, 3, 4, 5, 7, 8, 9]","[0, 2, 1, 2, 2, 1]"
2025098,2,"[5, 8, 13, 17, 18, 29]",2,90,8,"[4, 0, 4]","[3, 4, 1]","[7, 0, 5, 4, 4, 2]","[0, 0, 2]","[0, 1, 2, 3, 4, 5, 7]","[2, 2, 1, 2, 0, 2]"
2025099,4,"[9, 11, 15, 17, 22, 26]",14,100,6,"[7, 1, 2]","[2, 2, 4]","[0, 8, 5, 4, 3, 2]","[4, 0, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","[0, 2, 0, 2, 1, 2]"
2025100,7,"[12, 16, 17, 25, 30, 31]",16,131,6,"[9, 4, 8]","[4, 8, 1]","[9, 7, 6, 4, 3, 3]","[5, 1, 3]","[1, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 1, 0, 1]"
2025101,2,"[5, 8, 9, 10, 16, 21]",5,69,7,"[6, 8, 1]","[3, 1, 5]","[2, 7, 6, 5, 3, 2]","[3, 4, 1]","[1, 2, 3, 4, 5, 6, 7, 8]","[2, 2, 0, 1, 1, 0]"
2025102,4,"[4, 9, 16, 17, 18, 31]",7,95,7,"[7, 9, 1]","[5, 1, 3]","[2, 9, 4, 4, 4, 2]","[5, 0, 3]","[0, 1, 2, 3, 4, 5, 7, 9]","[1, 0, 1, 2, 0, 1]"
2025103,7,"[13, 16, 21, 25, 28, 31]",16,134,6,"[8, 2, 4]","[3, 4, 3]","[9, 7, 5, 4, 3, 3]","[2, 4, 2]","[2, 3, 4, 5, 7, 8, 9]","[1, 1, 0, 1, 1, 1]"
2025104,2,"[2, 5, 15, 16, 24, 32]",16,94,9,"[0, 9, 1]","[3, 1, 8]","[6, 7, 5, 4, 2, 1]","[4, 4, 2]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 0, 1, 0, 2]"
2025105,4,"[4, 7, 18, 24, 26, 28]",8,107,9,"[4, 9, 6]","[3, 6, 2]","[5, 4, 4, 3, 3, 2]","[5, 2, 3]","[2, 3, 4, 5, 6, 9]","[1, 1, 0, 0, 2, 1]"
2025106,7,"[4, 5, 17, 22, 26, 30]",4,104,8,"[6, 1, 5]","[1, 5, 4]","[5, 9, 5, 3, 3, 2]","[2, 4, 0]","[0, 1, 2, 3, 4, 5, 6, 9]","[1, 2, 2, 1, 2, 0]"
2025107,2,"[2, 3, 10, 15, 25, 33]",13,88,8,"[1, 2, 5]","[1, 5, 8]","[3, 8, 7, 4, 2, 1]","[4, 3, 0]","[0, 1, 2, 3, 4, 5, 7, 8]","[2, 0, 1, 0, 1, 0]"
2025108,4,"[1, 9, 14, 17, 22, 33]",7,96,5,"[2, 3, 3]","[8, 3, 1]","[5, 9, 5, 4, 3, 1]","[0, 1, 0]","[0, 1, 2, 3, 4, 5, 8, 9]","[1, 0, 2, 2, 1, 0]"
2025109,7,"[5, 6, 9, 17, 18, 31]",3,86,7,"[6, 2, 8]","[1, 8, 3]","[6, 3, 8, 4, 3, 1]","[2, 1, 2]","[1, 2, 3, 4, 6, 8]","[2, 0, 0, 2, 0, 1]"
2025110,2,"[1, 5, 11, 14, 16, 19]",8,66,8,"[8, 1, 3]","[4, 3, 3]","[5, 2, 5, 3, 3, 2]","[0, 1, 2]","[0, 1, 2, 3, 4, 5, 8]","[1, 2, 2, 2, 1, 1]"
2025111,4,"[9, 14, 18, 28, 31, 33]",12,133,8,"[4, 7, 0]","[5, 0, 2]","[3, 8, 6, 3, 3, 3]","[1, 3, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 2, 0, 1, 1, 0]"
2025112,7,"[3, 9, 11, 13, 20, 32]",2,88,9,"[9, 1, 2]","[6, 2, 2]","[8, 8, 7, 5, 3, 1]","[4, 3, 0]","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 2, 1, 2, 2]"
2025113,2,"[8, 10, 13, 15, 24, 31]",16,101,6,"[3, 4, 2]","[2, 2, 7]","[1, 9, 6, 5, 3, 2]","[5, 1, 1]","[1, 2, 3, 4, 5, 6, 7, 9]","[2, 1, 1, 0, 0, 1]"
2025114,7,"[1, 20, 21, 25, 26, 27]",10,120,6,"[6, 6, 4]","[9, 4, 1]","[9, 5, 4, 3, 3, 3]","[0, 0, 0]","[0, 1, 3, 4, 5, 6, 9]","[1, 2, 0, 1, 2, 0]"
2025115,2,"[2, 3, 8, 19, 24, 30]",2,86,5,"[8, 1, 1]","[1, 1, 6]","[2, 7, 9, 3, 2, 1]","[2, 1, 2]","[1, 2, 3, 6, 7, 8, 9]","[2, 0, 2, 1, 0, 0]"
2025116,4,"[2, 4, 8, 24, 28, 31]",9,97,8,"[9, 4, 6]","[2, 6, 3]","[7, 3, 1, 3, 2, 2]","[1, 2, 1]","[1, 2, 3, 4, 6, 7, 9]","[2, 1, 2, 0, 1, 1]"
2025117,7,"[6, 8, 17, 20, 25, 33]",10,109,9,"[7, 7, 3]","[2, 3, 8]","[7, 2, 5, 4, 3, 2]","[1, 4, 1]","[1, 2, 3, 4, 5, 7, 8]","[0, 2, 2, 2, 1, 0]"
2025118,2,"[1, 10, 11, 16, 24, 26]",3,88,8,"[5, 4, 5]","[9, 5, 2]","[7, 7, 7, 4, 2, 2]","[4, 3, 0]","[0, 2, 3, 4, 5, 7, 9]","[1, 1, 2, 1, 0, 2]"
2025119,4,"[6, 9, 23, 26, 28, 32]",11,124,8,"[6, 9, 3]","[3, 3, 4]","[9, 2, 4, 3, 3, 2]","[4, 4, 0]","[0, 2, 3, 4, 6, 9]","[0, 0, 2, 2, 1, 2]"
2025120,7,"[1, 2, 4, 7, 13, 32]",7,59,8,"[1, 1, 3]","[1, 3, 9]","[8, 8, 3, 7, 3, 0]","[5, 4, 3]","[0, 1, 3, 4, 5, 7, 8, 9]","[1, 2, 1, 1, 1, 2]"
2025121,2,"[6, 8, 10, 25, 29, 30]",8,108,7,"[4, 1, 5]","[2, 5, 1]","[7, 2, 9, 3, 2, 2]","[0, 3, 0]","[0, 1, 2, 3, 4, 5, 7, 9]","[0, 2, 1, 1, 2, 0]"
2025122,4,"[16, 18, 19, 20, 25, 31]",13,129,7,"[5, 7, 1]","[2, 1, 6]","[7, 6, 5, 5, 4, 3]","[3, 4, 1]","[1, 2, 3, 4, 5, 6, 7]","[1, 0, 1, 2, 1, 1]"
2025123,7,"[7, 9, 23, 24, 25, 26]",10,114,4,"[9, 6, 1]","[2, 1, 1]","[5, 1, 3, 3, 3, 3]","[0, 4, 2]","[0, 1, 2, 3, 4, 5, 6, 9]","[1, 0, 2, 0, 1, 2]"
2025124,2,"[1, 2, 18, 19, 21, 33]",13,94,8,"[2, 9, 1]","[1, 1, 2]","[3, 6, 4, 3, 3, 1]","[4, 4, 2]","[1, 2, 3, 4, 6, 9]","[1, 2, 0, 1, 0, 0]"
2025125,4,"[3, 9, 12, 13, 26, 32]",9,95,8,"[9, 7, 1]","[6, 1, 6]","[0, 9, 6, 6, 2, 1]","[5, 0, 3]","[0, 1, 2, 3, 5, 6, 7, 9]","[0, 0, 0, 1, 2, 2]"
2025126,7,"[2, 12, 13, 16, 19, 25]",10,87,8,"[3, 7, 3]","[0, 3, 6]","[2, 6, 5, 4, 3, 2]","[3, 2, 3]","[0, 2, 3, 4, 5, 6, 7]","[2, 0, 1, 1, 1, 1]"
2025127,2,"[3, 9, 15, 17, 19, 28]",3,91,8,"[5, 0, 2]","[6, 2, 9]","[9, 9, 5, 4, 3, 2]","[1, 1, 3]","[0, 1, 2, 3, 4, 5, 6, 9]","[0, 0, 0, 2, 1, 1]"
2025128,4,"[2, 10, 18, 19, 24, 27]",1,100,6,"[5, 4, 1]","[8, 1, 3]","[9, 9, 4, 4, 3, 2]","[4, 0, 0]","[0, 1, 2, 3, 4, 5, 8, 9]","[2, 1, 0, 1, 0, 0]"
2025129,7,"[3, 4, 7, 13, 20, 30]",3,77,8,"[7, 6, 6]","[1, 6, 0]","[4, 8, 0, 4, 2, 1]","[5, 2, 1]","[0, 1, 2, 4, 5, 6, 7, 8]","[0, 1, 1, 1, 2, 0]"
2025130,2,"[1, 5, 8, 14, 19, 23]",6,70,7,"[2, 4, 6]","[4, 6, 4]","[9, 3, 7, 4, 2, 2]","[4, 0, 2]","[0, 2, 3, 4, 6, 7, 9]","[1, 2, 2, 2, 1, 2]"
2025131,4,"[3, 13, 14, 18, 24, 31]",3,103,8,"[8, 1, 4]","[0, 4, 7]","[3, 6, 6, 4, 3, 2]","[1, 3, 3]","[0, 1, 2, 3, 4, 6, 7, 8]","[0, 1, 2, 0, 0, 1]"
2025132,7,"[4, 8, 10, 21, 23, 32]",11,98,7,"[8, 5, 1]","[4, 1, 9]","[3, 1, 8, 3, 3, 2]","[2, 3, 2]","[1, 2, 3, 4, 5, 8, 9]","[1, 2, 1, 0, 2, 2]"
2025133,2,"[5, 14, 17, 19, 20, 33]",7,108,8,"[8, 6, 2]","[9, 2, 3]","[0, 6, 5, 4, 4, 2]","[0, 3, 0]","[0, 2, 3, 4, 5, 6, 8, 9]","[2, 2, 2, 1, 2, 0]"
2025134,4,"[3, 5, 9, 13, 26, 29]",12,85,9,"[6, 1, 4]","[2, 4, 3]","[7, 6, 8, 5, 2, 1]","[1, 0, 1]","[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0, 2, 0, 1, 2, 2]"
2025135,7,"[1, 2, 5, 9, 25, 32]",10,74,7,"[1, 3, 4]","[1, 4, 7]","[3, 6, 3, 7, 1, 1]","[2, 4, 2]","[1, 2, 3, 4, 6, 7]","[1, 2, 2, 0, 1, 2]"
2025136,2,"[8, 10, 14, 23, 28, 32]",12,115,7,"[4, 8, 9]","[2, 9, 4]","[3, 0, 7, 4, 3, 2]","[1, 0, 3]","[0, 1, 2, 3, 4, 7, 8, 9]","[2, 1, 2, 2, 1, 2]"
2025137,4,"[2, 8, 11, 23, 27, 29]",5,100,8,"[7, 9, 2]","[6, 2, 2]","[9, 1, 8, 3, 2, 2]","[4, 0, 0]","[0, 1, 2, 3, 4, 6, 7, 8, 9]","[2, 2, 2, 2, 0, 2]"
2025138,7,"[10, 13, 14, 23, 24, 27]",15,111,4,"[7, 1, 9]","[3, 9, 3]","[0, 7, 6, 3, 3, 3]","[3, 1, 3]","[0, 1, 3, 6, 7, 9]","[1, 1, 2, 2, 0, 0]"
2025139,2,"[2, 5, 17, 22, 30, 33]",6,109,8,"[1, 5, 5]","[3, 5, 3]","[3, 0, 5, 3, 2, 2]","[1, 4, 1]","[0, 1, 2, 3, 4, 5]","[2, 2, 2, 1, 0, 0]"
2025140,4,"[1, 3, 4, 12, 18, 24]",5,62,9,"[3, 5, 8]","[2, 8, 6]","[1, 9, 4, 4, 2, 1]","[2, 2, 2]","[1, 2, 3, 4, 5, 6, 8, 9]","[1, 0, 1, 0, 0, 0]"
2025141,7,"[2, 4, 5, 10, 12, 13]",6,46,5,"[1, 8, 5]","[2, 5, 1]","[2, 0, 8, 3, 2, 2]","[4, 1, 2]","[0, 1, 2, 3, 4, 5, 8]","[2, 1, 2, 1, 0, 1]"
2025142,2,"[2, 13, 15, 23, 27, 31]",16,111,8,"[9, 4, 8]","[1, 8, 4]","[4, 7, 6, 3, 3, 2]","[3, 1, 3]","[1, 2, 3, 4, 6, 7, 8, 9]","[2, 1, 0, 2, 0, 1]"
2025143,4,"[2, 9, 12, 13, 15, 24]",3,75,8,"[2, 6, 1]","[7, 1, 9]","[6, 7, 5, 4, 4, 2]","[3, 0, 3]","[0, 1, 2, 3, 4, 5, 6, 7, 9]","[2, 0, 0, 1, 0, 0]"
2025144,7,"[1, 8, 15, 20, 26, 33]",13,103,6,"[2, 8, 5]","[7, 5, 7]","[2, 1, 5, 4, 2, 2]","[1, 3, 3]","[1, 2, 3, 4, 5, 7, 8]","[1, 2, 0, 2, 2, 0]"
2025145,2,"[11, 12, 15, 18, 25, 32]",14,113,6,"[1, 3, 3]","[1, 3, 7]","[9, 8, 6, 5, 3, 2]","[5, 3, 1]","[1, 2, 3, 5, 6, 7, 8, 9]","[2, 0, 0, 0, 1, 2]"
2025146,4,"[5, 7, 12, 24, 26, 28]",2,102,6,"[3, 9, 2]","[2, 2, 2]","[9, 3, 7, 3, 2, 2]","[0, 2, 2]","[0, 2, 3, 7, 9]","[2, 1, 0, 0, 2, 1]"
2025147,7,"[1, 3, 5, 8, 22, 33]",8,72,9,"[2, 9, 3]","[2, 3, 1]","[1, 3, 3, 8, 2, 1]","[0, 2, 0]","[0, 1, 2, 3, 8, 9]","[1, 0, 2, 2, 1, 0]"
2025148,2,"[3, 4, 9, 10, 15, 22]",16,63,4,"[9, 1, 1]","[1, 1, 7]","[0, 4, 6, 5, 3, 1]","[3, 3, 3]","[0, 1, 3, 4, 5, 6, 7, 9]","[0, 1, 0, 1, 0, 1]"
2025149,4,"[1, 2, 4, 6, 22, 30]",10,65,9,"[9, 0, 2]","[1, 2, 8]","[4, 1, 5, 9, 1, 1]","[5, 0, 1]","[0, 1, 2, 4, 5, 8, 9]","[1, 2, 1, 0, 1, 0]"
2025150,7,"[6, 13, 17, 19, 24, 31]",8,110,6,"[5, 1, 2]","[7, 2, 7]","[7, 7, 5, 4, 3, 2]","[2, 0, 2]","[0, 1, 2, 3, 4, 5, 7]","[0, 1, 2, 1, 0, 1]"